#ID   R   G   B   A   Noise
0   0   0   0   0   0
1   97   99   84   255   0
2   46   79   41   255   0
3   93   64   41   255   0
4   77   78   66   255   0
5   71   65   41   255   0
6   29   52   30   255   0
7   44   43   41   255   0
8   44   72   96   178   0
9   44   72   96   178   0
10   146   30   0   255   0
11   146   30   0   255   0
12   160   143   90   255   0
13   82   74   52   255   0
14   130   119   71   255   0
15   120   84   61   255   0
16   85   86   74   255   0
17   69   63   41   255   0
18   37   69   42   255   0
19   135   127   63   255   0
20   60   55   35   51   0
21   66   58   45   255   0
22   65   57   44   255   0
23   92   92   69   255   0
24   66   58   45   255   0
25   82   77   54   255   0
26   0   0   0   0   0
27   0   0   0   0   0
28   0   0   0   0   0
29   0   0   0   0   0
30   0   0   0   0   0
31   0   0   0   0   0
32   0   0   0   0   0
33   0   0   0   0   0
34   0   0   0   0   0
35   223   219   204   255   0
36   0   0   0   0   0
37   27   57   36   255   0
38   33   64   52   255   0
39   128   103   72   255   2
40   110   52   32   255   3
41   152   129   60   255   0
42   132   129   110   255   0
43   103   106   92   255   0
44   103   106   92   255   0
45   89   91   76   255   0
46   65   70   61   255   0
47   73   49   31   255   0
48   57   78   52   255   0
49   32   32   34   255   0
50   98   84   49   255   36
51   146   30   0   76   0
52   87   85   66   255   0
53   71   65   41   255   0
54   77   72   46   255   0
55   173   3   10   255   0
56   99   127   121   255   0
57   79   107   98   255   0
58   69   66   43   255   0
59   149   123   73   255   1
60   70   51   32   255   0
61   75   75   57   255   0
62   122   84   51   255   0
63   46   79   41   255   0
64   61   55   34   255   0
65   62   63   43   255   0
66   78   71   53   255   0
67   77   78   66   255   0
68   71   65   41   255   0
69   88   62   51   255   25
70   78   76   65   255   13
71   82   82   63   255   0
72   71   65   41   255   0
73   123   60   52   255   0
74   123   60   52   255   0
75   72   63   52   255   17
76   88   62   51   255   25
77   82   82   63   25   0
78   209   217   223   255   0
79   139   163   179   189   0
80   209   217   223   255   0
81   60   84   35   255   0
82   109   118   101   255   0
83   43   55   32   255   0
84   82   77   54   255   0
85   121   109   69   153   0
86   66   58   45   255   0
87   65   58   45   255   0
88   66   57   45   255   0
89   66   57   45   255   0
90   66   58   45   255   0
91   66   58   45   255   0
92   66   58   45   255   0
93   0   0   0   0   0
94   0   0   0   0   0
95   0   0   0   0   0
96   0   0   0   0   0
97   0   0   0   0   0
98   0   0   0   0   0
99   0   0   0   0   0
100   0   0   0   0   0
101   0   0   0   0   0
102   0   0   0   0   0
103   0   0   0   0   0
104   0   0   0   0   0
105   0   0   0   0   0
106   0   0   0   0   0
107   0   0   0   0   0
108   0   0   0   0   0
109   0   0   0   0   0
110   0   0   0   0   0
111   0   0   0   0   0
112   0   0   0   0   0
113   0   0   0   0   0
114   0   0   0   0   0
115   0   0   0   0   0
116   0   0   0   0   0
117   0   0   0   0   0
118   0   0   0   0   0
119   0   0   0   0   0
120   0   0   0   0   0
121   0   0   0   0   0
122   0   0   0   0   0
123   0   0   0   0   0
124   0   0   0   0   0
125   0   0   0   0   0
126   0   0   0   0   0
