#ID	R	G	B	A	Noise
1	120	117	106	255	16
2	137	137	14	255	14
3	93	75	46	255	22
4	106	101	87	255	26
5	98	72	54	255	11
6	156	156	156	0	0
7	71	71	74	255	0
8	69	124	186	41	0
9	69	124	186	41	0
10	229	148	37	255	0
11	229	148	37	255	0
12	134	124	77	255	14
13	84	73	55	255	24
14	227	162	34	255	0
15	161	121	79	255	0
16	50	54	63	255	0
17	107	88	67	255	0
18	100	90	100	120	12
19	0	0	0	0	0
20	161	196	201	90	0
21	0	0	0	0	0
22	0	0	0	0	0
23	0	0	0	0	0
24	0	0	0	0	0
25	0	0	0	0	0
26	0	0	0	0	0
27	0	0	0	0	0
28	0	0	0	0	0
29	0	0	0	0	0
30	0	0	0	0	0
31	0	0	0	0	0
32	0	0	0	0	0
33	0	0	0	0	0
34	0	0	0	0	0
35	204	210	197	255	10
36	0	0	0	254	0
37	66	97	54	254	0
38	76	126	169	254	0
39	166	130	0	254	0
40	182	15	15	254	0
41	204	210	197	255	0
42	173	173	173	255	0
43	110	101	89	255	0
44	110	101	89	254	0
45	208	93	66	255	0
46	193	60	23	255	0
47	0	0	0	0	0
48	67	75	49	255	0
49	58	47	58	255	0
50	254	203	58	200	0
51	255	170	30	200	0
52	245	220	50	255	0
53	131	98	72	255	11
54	149	119	91	255	0
55	105	19	19	255	0
56	114	227	252	255	0
57	148	196	214	255	0
58	154	124	89	255	0
59	123	137	19	255	0
60	111	74	46	255	0
61	143	115	66	255	0
62	143	115	66	255	0
63	54	101	15	255	0
64	117	88	62	255	11
65	130	115	89	32	0
66	102	98	92	180	0
67	104	97	84	255	26
68	0	0	0	0	0
69	0	0	0	0	0
70	0	0	0	0	0
71	248	248	248	255	0
72	0	0	0	0	0
73	157	97	97	255	0
74	157	97	97	255	0
75	235	130	57	254	0
76	255	0	0	254	0
77	0	0	0	0	0
78	220	230	236	254	0
79	144	192	220	55	0
80	220	230	236	255	0
81	105	150	72	255	0
82	220	220	255	255	0
83	123	150	67	255	0
84	105	88	72	255	0
85	104	89	57	255	11
86   207   119   4   255   13
87   117   48   48   255   2
88   87   64   50   255   1
89   139   113   60   255   7
90   52   0   255   255   63
91   190   134   13   255   18
92   230   201   203   255   8
93   0   0   0   0   0
94   0   0   0   0   0
95   0   0   0   0   0
96   0   0   0   0   0
97   0   0   0   0   0
98   0   0   0   0   0
99   0   0   0   0   0
100   0   0   0   0   0
101   0   0   0   0   0
102   0   0   0   0   0
103   0   0   0   0   0
104   0   0   0   0   0
105   0   0   0   0   0
106   0   0   0   0   0
107   0   0   0   0   0
108   0   0   0   0   0
109   0   0   0   0   0
110   0   0   0   0   0
111   0   0   0   0   0
112   0   0   0   0   0
113   0   0   0   0   0
114   0   0   0   0   0
115   0   0   0   0   0
116   0   0   0   0   0
117   0   0   0   0   0
118   0   0   0   0   0
119   0   0   0   0   0
120   0   0   0   0   0
121   0   0   0   0   0
122   0   0   0   0   0
123   0   0   0   0   0
124   0   0   0   0   0
125   0   0   0   0   0
126   0   0   0   0   0
127   0   0   0   0   0
128   0   0   0   0   0
129   0   0   0   0   0
130   0   0   0   0   0
131   0   0   0   0   0
132   0   0   0   0   0
133   0   0   0   0   0
134   0   0   0   0   0
135   0   0   0   0   0
136   0   0   0   0   0
137   0   0   0   0   0
138   0   0   0   0   0
139   0   0   0   0   0
140   0   0   0   0   0
141   0   0   0   0   0
142   0   0   0   0   0
143   0   0   0   0   0
144   0   0   0   0   0
145   0   0   0   0   0
146   0   0   0   0   0
147   0   0   0   0   0
148   0   0   0   0   0
149   0   0   0   0   0
150   0   0   0   0   0
151   0   0   0   0   0
152   0   0   0   0   0
153   0   0   0   0   0
154   0   0   0   0   0
155   0   0   0   0   0
156   0   0   0   0   0
157   0   0   0   0   0
158   0   0   0   0   0
159   0   0   0   0   0
160   0   0   0   0   0
161   0   0   0   0   0
162   0   0   0   0   0
163   0   0   0   0   0
164   0   0   0   0   0
165   0   0   0   0   0
166   0   0   0   0   0
167   0   0   0   0   0
168   0   0   0   0   0
169   0   0   0   0   0
170   0   0   0   0   0
171   0   0   0   0   0
172   0   0   0   0   0
173   0   0   0   0   0
174   0   0   0   0   0
175   0   0   0   0   0
176   0   0   0   0   0
177   0   0   0   0   0
178   0   0   0   0   0
179   0   0   0   0   0
180   0   0   0   0   0
181   0   0   0   0   0
182   0   0   0   0   0
183   0   0   0   0   0
184   0   0   0   0   0
185   0   0   0   0   0
186   0   0   0   0   0
187   0   0   0   0   0
188   0   0   0   0   0
189   0   0   0   0   0
190   0   0   0   0   0
191   0   0   0   0   0
192   0   0   0   0   0
193   0   0   0   0   0
194   0   0   0   0   0
195   0   0   0   0   0
196   0   0   0   0   0
197   0   0   0   0   0
198   0   0   0   0   0
199   0   0   0   0   0
200   0   0   0   0   0
201   0   0   0   0   0
202   0   0   0   0   0
203   0   0   0   0   0
204   0   0   0   0   0
205   0   0   0   0   0
206   0   0   0   0   0
207   0   0   0   0   0
208   0   0   0   0   0
209   0   0   0   0   0
210   0   0   0   0   0
211   0   0   0   0   0
212   0   0   0   0   0
213   0   0   0   0   0
214   0   0   0   0   0
215   0   0   0   0   0
216   0   0   0   0   0
217   0   0   0   0   0
218   0   0   0   0   0
219   0   0   0   0   0
220   0   0   0   0   0
221   0   0   0   0   0
222   0   0   0   0   0
223   0   0   0   0   0
224   0   0   0   0   0
225   0   0   0   0   0
226   0   0   0   0   0
227   0   0   0   0   0
228   0   0   0   0   0
229   0   0   0   0   0
230   0   0   0   0   0
231   0   0   0   0   0
232   0   0   0   0   0
233   217   95   239   255   21
234   160   128   75   255   3
235   117   117   117   255   2
236   116   116   116   255   5
237   135   135   135   255   5
238   47   28   10   255   0
239   206   206   201   255   5
240   248   122   36   255   7
241   207   29   201   255   29
242   100   132   213   255   6
243   194   185   0   255   33
244   0   197   45   255   22
245   230   123   152   255   1
246   66   66   66   255   0
247   156   165   165   255   0
248   0   115   150   255   1
249   143   4   197   255   36
250   47   29   155   255   15
251   90   50   24   255   0
252   47   80   22   255   3
253   177   25   31   255   0
254   27   22   23   255   0
255   0   0   0   0   0
