#ID   R   G   B   A   Noise
0   0   0   0   0   0
1   131   125   121   255   0
2   108   108   108   255   0
3   104   77   57   255   0
4   116   109   98   255   0
5   79   64   47   255   0
6   40   92   19   254   2
7   75   73   70   255   0
8   38   82   133   179   0
9   38   82   133   179   0
10   201   23   0   255   0
11   201   23   0   255   0
12   198   173   131   255   0
13   94   80   61   255   0
14   141   131   93   255   0
15   130   122   110   255   0
16   86   82   77   255   0
17   100   76   57   255   0
18   103   102   100   255   0
19   216   221   127   255   0
20   89   95   98   51   0
21   101   106   119   255   0
22   37   69   177   255   0
23   98   93   84   255   0
24   171   141   106   255   0
25   115   65   41   255   0
26   0   0   0   0   0
27   0   0   0   0   0
28   0   0   0   0   0
29   0   0   0   0   0
30   0   0   0   0   0
31   0   0   0   0   0
32   0   0   0   0   0
33   0   0   0   0   0
34   0   0   0   0   0
35   238   233   222   255   0
36   0   0   0   0   0
37   100   111   17   255   19
38   87   50   20   255   5
39   145   119   85   255   17
40   177   168   162   255   6
41   232   163   2   255   1
42   171   171   170   255   0
43   116   108   97   255   0
44   116   108   97   255   0
45   176   114   87   255   0
46   111   64   45   255   0
47   98   70   50   255   0
48   92   93   70   255   0
49   11   11   11   255   0
50   78   61   25   255   41
51   201   23   0   76   0
52   70   73   53   255   0
53   79   64   47   255   0
54   88   67   56   255   0
55   147   29   3   255   1
56   124   122   118   255   0
57   15   164   160   255   0
58   89   66   48   255   0
59   124   98   53   255   0
60   102   75   50   255   0
61   94   89   80   255   0
62   117   93   69   255   0
63   108   108   108   255   0
64   75   54   42   255   0
65   84   68   54   255   0
66   67   62   57   255   0
67   116   109   98   255   0
68   79   64   47   255   0
69   155   85   55   255   50
70   85   73   58   255   37
71   78   77   74   255   0
72   79   64   47   255   0
73   142   108   82   255   0
74   142   108   82   255   0
75   95   71   54   255   29
76   155   85   55   255   50
77   78   77   74   25   0
78   233   243   246   255   0
79   111   157   182   209   0
80   233   243   246   255   0
81   72   124   41   255   0
82   131   122   107   255   0
83   43   75   34   255   0
84   115   65   41   255   0
85   155   133   101   153   0
86   193   113   9   255   0
87   106   43   22   255   0
88   69   73   38   255   0
89   163   150   119   255   0
90   56   22   203   255   2
91   193   113   9   255   0
92   231   216   222   255   0
93   0   0   0   0   0
94   0   0   0   0   0
95   0   0   0   0   0
96   0   0   0   0   0
97   0   0   0   0   0
98   0   0   0   0   0
99   0   0   0   0   0
100   0   0   0   0   0
101   0   0   0   0   0
102   0   0   0   0   0
103   0   0   0   0   0
104   0   0   0   0   0
105   0   0   0   0   0
106   0   0   0   0   0
107   0   0   0   0   0
108   0   0   0   0   0
109   0   0   0   0   0
110   0   0   0   0   0
111   0   0   0   0   0
112   0   0   0   0   0
113   0   0   0   0   0
114   0   0   0   0   0
115   0   0   0   0   0
116   0   0   0   0   0
117   0   0   0   0   0
118   0   0   0   0   0
119   0   0   0   0   0
120   0   0   0   0   0
121   0   0   0   0   0
122   0   0   0   0   0
123   0   0   0   0   0
124   0   0   0   0   0
125   0   0   0   0   0
126   0   0   0   0   0
127   0   0   0   0   0
128   0   0   0   0   0
129   0   0   0   0   0
130   0   0   0   0   0
131   0   0   0   0   0
132   0   0   0   0   0
133   0   0   0   0   0
134   0   0   0   0   0
135   0   0   0   0   0
136   0   0   0   0   0
137   0   0   0   0   0
138   0   0   0   0   0
139   0   0   0   0   0
140   0   0   0   0   0
141   0   0   0   0   0
142   0   0   0   0   0
143   0   0   0   0   0
144   0   0   0   0   0
145   0   0   0   0   0
146   0   0   0   0   0
147   0   0   0   0   0
148   0   0   0   0   0
149   0   0   0   0   0
150   0   0   0   0   0
151   0   0   0   0   0
152   0   0   0   0   0
153   0   0   0   0   0
154   0   0   0   0   0
155   0   0   0   0   0
156   0   0   0   0   0
157   0   0   0   0   0
158   0   0   0   0   0
159   0   0   0   0   0
160   0   0   0   0   0
161   0   0   0   0   0
162   0   0   0   0   0
163   0   0   0   0   0
164   0   0   0   0   0
165   0   0   0   0   0
166   0   0   0   0   0
167   0   0   0   0   0
168   0   0   0   0   0
169   0   0   0   0   0
170   0   0   0   0   0
171   0   0   0   0   0
172   0   0   0   0   0
173   0   0   0   0   0
174   0   0   0   0   0
175   0   0   0   0   0
176   0   0   0   0   0
177   0   0   0   0   0
178   0   0   0   0   0
179   0   0   0   0   0
180   0   0   0   0   0
181   0   0   0   0   0
182   0   0   0   0   0
183   0   0   0   0   0
184   0   0   0   0   0
185   0   0   0   0   0
186   0   0   0   0   0
187   0   0   0   0   0
188   0   0   0   0   0
189   0   0   0   0   0
190   0   0   0   0   0
191   0   0   0   0   0
192   0   0   0   0   0
193   0   0   0   0   0
194   0   0   0   0   0
195   0   0   0   0   0
196   0   0   0   0   0
197   0   0   0   0   0
198   0   0   0   0   0
199   0   0   0   0   0
200   0   0   0   0   0
201   0   0   0   0   0
202   0   0   0   0   0
203   0   0   0   0   0
204   0   0   0   0   0
205   0   0   0   0   0
206   0   0   0   0   0
207   0   0   0   0   0
208   0   0   0   0   0
209   0   0   0   0   0
210   0   0   0   0   0
211   0   0   0   0   0
212   0   0   0   0   0
213   0   0   0   0   0
214   0   0   0   0   0
215   0   0   0   0   0
216   0   0   0   0   0
217   0   0   0   0   0
218   0   0   0   0   0
219   0   0   0   0   0
220   0   0   0   0   0
221   0   0   0   0   0
222   0   0   0   0   0
223   0   0   0   0   0
224   0   0   0   0   0
225   0   0   0   0   0
226   0   0   0   0   0
227   0   0   0   0   0
228   0   0   0   0   0
229   0   0   0   0   0
230   0   0   0   0   0
231   0   0   0   0   0
232   0   0   0   0   0
233   71   87   90   255   0
234   79   64   47   255   0
235   116   109   98   255   0
236   102   102   102   255   0
237   69   69   69   254   0
238   91   75   64   255   0
239   127   138   141   255   0
240   228   104   20   255   0
241   125   42   127   255   0
242   57   109   211   255   0
243   182   158   21   255   1
244   0   154   38   255   0
245   250   105   146   255   0
246   52   51   49   255   0
247   119   119   118   255   0
248   0   110   153   255   0
249   81   28   82   255   0
250   37   61   172   255   0
251   90   27   21   255   0
252   0   93   40   255   0
253   151   9   23   255   0
254   22   22   21   255   0
255   0   0   0   0   0
