#ID   R   G   B   A   Noise
0   0   0   0   0   0
1   125   125   125   255   0
2   146   146   146   255   0
3   139   95   63   255   1
4   117   117   117   255   2
5   160   128   75   255   3
6   57   114   14   255   75
7   83   83   83   255   2
8   30   33   138   138   10
9   30   33   138   138   10
10   249   60   0   255   6
11   249   60   0   255   6
12   217   212   156   255   3
13   138   125   125   255   1
14   143   140   122   255   2
15   136   130   126   255   0
16   115   115   115   255   0
17   105   81   47   255   2
18   99   99   99   255   4
19   179   187   48   255   22
20   212   241   244   51   13
21   103   108   135   255   2
22   32   54   167   255   13
23   113   113   113   255   3
24   216   212   155   255   3
25   105   66   48   255   1
26   0   0   0   0   0
27   0   0   0   0   0
28   0   0   0   0   0
29   0   0   0   0   0
30   0   0   0   0   0
31   0   0   0   0   0
32   0   0   0   0   0
33   0   0   0   0   0
34   0   0   0   0   0
35   221   221   221   255   0
36   0   0   0   0   0
37   95   168   0   255   255
38   142   42   7   255   255
39   142   105   81   255   178
40   206   33   40   255   255
41   217   95   239   255   21
42   29   22   71   255   3
43   166   166   166   255   0
44   166   166   166   255   0
45   162   107   94   255   4
46   178   83   58   255   9
47   109   86   52   255   5
48   78   109   90   255   5
49   20   16   29   255   0
50   132   106   56   255   255
51   249   60   0   76   6
52   8   77   114   255   4
53   160   128   75   255   3
54   127   91   33   255   5
55   217   95   239   255   21
56   124   140   143   255   2
57   217   95   239   255   21
58   118   96   61   255   6
59   78   105   1   255   30
60   120   74   41   255   1
61   78   78   78   255   4
62   125   102   85   255   8
63   146   146   146   255   0
64   138   102   45   255   3
65   124   96   49   255   10
66   122   109   86   255   8
67   117   117   117   255   2
68   160   128   75   255   3
69   170   75   39   255   255
70   108   89   62   255   255
71   163   163   163   255   0
72   160   128   75   255   3
73   134   107   107   255   2
74   134   107   107   255   2
75   96   63   36   255   255
76   170   75   39   255   255
77   163   163   163   25   0
78   237   251   251   255   0
79   74   104   159   159   3
80   237   251   251   255   0
81   0   107   23   255   9
82   157   163   176   255   0
83   132   198   98   255   37
84   105   66   48   255   1
85   159   126   73   153   4
86   207   119   4   255   13
87   117   48   48   255   2
88   87   64   50   255   1
89   139   113   60   255   7
90   52   0   255   255   63
91   190   134   13   255   18
92   230   201   203   255   8
93   0   0   0   0   0
94   0   0   0   0   0
95   0   0   0   0   0
96   0   0   0   0   0
97   0   0   0   0   0
98   0   0   0   0   0
99   0   0   0   0   0
100   0   0   0   0   0
101   0   0   0   0   0
102   0   0   0   0   0
103   0   0   0   0   0
104   0   0   0   0   0
105   0   0   0   0   0
106   0   0   0   0   0
107   0   0   0   0   0
108   0   0   0   0   0
109   0   0   0   0   0
110   0   0   0   0   0
111   0   0   0   0   0
112   0   0   0   0   0
113   0   0   0   0   0
114   0   0   0   0   0
115   0   0   0   0   0
116   0   0   0   0   0
117   0   0   0   0   0
118   0   0   0   0   0
119   0   0   0   0   0
120   0   0   0   0   0
121   0   0   0   0   0
122   0   0   0   0   0
123   0   0   0   0   0
124   0   0   0   0   0
125   0   0   0   0   0
126   0   0   0   0   0
127   0   0   0   0   0
128   0   0   0   0   0
129   0   0   0   0   0
130   0   0   0   0   0
131   0   0   0   0   0
132   0   0   0   0   0
133   0   0   0   0   0
134   0   0   0   0   0
135   0   0   0   0   0
136   0   0   0   0   0
137   0   0   0   0   0
138   0   0   0   0   0
139   0   0   0   0   0
140   0   0   0   0   0
141   0   0   0   0   0
142   0   0   0   0   0
143   0   0   0   0   0
144   0   0   0   0   0
145   0   0   0   0   0
146   0   0   0   0   0
147   0   0   0   0   0
148   0   0   0   0   0
149   0   0   0   0   0
150   0   0   0   0   0
151   0   0   0   0   0
152   0   0   0   0   0
153   0   0   0   0   0
154   0   0   0   0   0
155   0   0   0   0   0
156   0   0   0   0   0
157   0   0   0   0   0
158   0   0   0   0   0
159   0   0   0   0   0
160   0   0   0   0   0
161   0   0   0   0   0
162   0   0   0   0   0
163   0   0   0   0   0
164   0   0   0   0   0
165   0   0   0   0   0
166   0   0   0   0   0
167   0   0   0   0   0
168   0   0   0   0   0
169   0   0   0   0   0
170   0   0   0   0   0
171   0   0   0   0   0
172   0   0   0   0   0
173   0   0   0   0   0
174   0   0   0   0   0
175   0   0   0   0   0
176   0   0   0   0   0
177   0   0   0   0   0
178   0   0   0   0   0
179   0   0   0   0   0
180   0   0   0   0   0
181   0   0   0   0   0
182   0   0   0   0   0
183   0   0   0   0   0
184   0   0   0   0   0
185   0   0   0   0   0
186   0   0   0   0   0
187   0   0   0   0   0
188   0   0   0   0   0
189   0   0   0   0   0
190   0   0   0   0   0
191   0   0   0   0   0
192   0   0   0   0   0
193   0   0   0   0   0
194   0   0   0   0   0
195   0   0   0   0   0
196   0   0   0   0   0
197   0   0   0   0   0
198   0   0   0   0   0
199   0   0   0   0   0
200   0   0   0   0   0
201   0   0   0   0   0
202   0   0   0   0   0
203   0   0   0   0   0
204   0   0   0   0   0
205   0   0   0   0   0
206   0   0   0   0   0
207   0   0   0   0   0
208   0   0   0   0   0
209   0   0   0   0   0
210   0   0   0   0   0
211   0   0   0   0   0
212   0   0   0   0   0
213   0   0   0   0   0
214   0   0   0   0   0
215   0   0   0   0   0
216   0   0   0   0   0
217   0   0   0   0   0
218   0   0   0   0   0
219   0   0   0   0   0
220   0   0   0   0   0
221   0   0   0   0   0
222   0   0   0   0   0
223   0   0   0   0   0
224   0   0   0   0   0
225   0   0   0   0   0
226   0   0   0   0   0
227   0   0   0   0   0
228   0   0   0   0   0
229   0   0   0   0   0
230   0   0   0   0   0
231   0   0   0   0   0
232   0   0   0   0   0
