#ID   R   G   B   A   Noise
0   255   255   255   0   0
1   128   128   128   255   16
2   102   142   62   255   14
3   134   96   67   255   22
4   115   115   115   255   24
5   157   128   79   255   11
6   120   120   120   0   75
7   84   84   84   255   2
8   38   92   225   36   10
9   38   92   225   36   10
10   255   90   0   255   6
11   255   90   0   255   6
12   220   212   160   255   14
13   136   126   126   255   24
14   143   140   125   255   2
15   136   130   127   255   0
16   115   115   115   255   0
17   102   81   51   255   2
18   54   135   40   180   12
19   179   187   48   255   22
20   255   255   255   40   13
21   102   112   134   255   10
22   29   71   165   255   5
23   107   107   107   255
24   218   210   158   255   7
25   100   67   50   255   10
26   175   116   116   254   0
27   160   134   72   250   0
28   120   114   92   250   0
29   106   102   95   255   0
30   220   220   220   190   0
31   110   166   68   254   12
32   123   79   25   254   25
33   106   102   95   255   0
34   153   129   89   255   0
35   222   222   222   255   0
36   222   222   222   255   0
37   255   0   0   254   0
38   255   255   0   254   0
39   128   100   0   254   0
40   140   12   12   254   0
41   231   165   45   255   0
42   191   191   191   255   0
43   200   200   200   255   0
44   200   200   200   254   0
45   170   86   62   255   0
46   160   83   65   255   0
47   109   86   52   255   5
48   90   108   90   255   27
49   26   11   43   255   0
50   245   220   50   200   0
51   255   170   30   200   0
52   20   170   200   255   0
53   157   128   79   255   0
54   125   91   38   255   0
55   200   10   10   200   0
56   129   140   143   255   0
57   45   166   152   255   0
58   114   88   56   255   0
59   146   192   0   255   0
60   95   58   30   255   0
61   96   96   96   255   0
62   96   96   96   255   0
63   111   91   54   255   0
64   136   109   67   255   0
65   181   140   64   32   0
66   140   134   72   250   0
67   115   115   115   255   0
68   160   128   75   255   3
69   170   75   39   255   255
70   108   89   62   255   255
71   191   191   191   255   0
73   131   107   107   255   0
74   131   107   107   255   0
75   181   100   44   254   0
76   255   0   0   254   0
77   163   163   163   25   0
78   245   246   245   254   13
79   125   173   255   159   7
80   250   250   250   255   0
81   25   120   25   255   0
82   151   157   169   255   0
83   183   234   150   255   0
84   100   67   50   255   0
85   137   112   65   225   0
86   197   120   23   255   0
87   110   53   51   255   16
88   84   64   51   255   7
89   137   112   64   255   11
90   0   42   255   127   0
91   185   133   28   255   0
92   228   205   206   255   7
93   151   147   147   255   2
94   161   147   147   255   2
95   125   91   38   255   0
96   126   93   45   240   5
97   128   128   128   255   16
98   122   122   122   255   7
99   141   106   83   255   0
100   182   37   36   255   6
101   109   108   106   254   6
102   255   255   255   40   0
103   151   153   36   255   10
104   115   170   73   254   0
105   115   170   73   254   0
106   51   130   36   180   12
107   137   112   65   225   0
108   170   86   62   255   0
109   122   122   122   255   7
110   140   115   119   255   14
111   85   124   60   254   0
112   54   24   30   255   7
113   54   24   30   225   0
114   54   24   30   255   0
115   112   8   28   254   0
116   103   64   59   255   6
117   124   103   81   255   25
118   55   55   55   255   0
119   18   16   27   127   0
120   89   117   96   255   6
121   221   223   165   255   3
122   20   18   29   255   0
123   70   43   26   255   2
124   119   89   55   255   7
125   0   0   0   0   0
126   0   0   0   0   0
127   0   0   0   0   0
128   0   0   0   0   0
129   0   0   0   0   0
130   0   0   0   0   0
131   0   0   0   0   0
132   0   0   0   0   0
133   0   0   0   0   0
134   0   0   0   0   0
135   0   0   0   0   0
136   0   0   0   0   0
137   0   0   0   0   0
138   0   0   0   0   0
139   0   0   0   0   0
140   0   0   0   0   0
141   0   0   0   0   0
142   0   0   0   0   0
143   0   0   0   0   0
144   0   0   0   0   0
145   0   0   0   0   0
146   0   0   0   0   0
147   0   0   0   0   0
148   0   0   0   0   0
149   0   0   0   0   0
150   0   0   0   0   0
151   0   0   0   0   0
152   0   0   0   0   0
153   0   0   0   0   0
154   0   0   0   0   0
155   0   0   0   0   0
156   0   0   0   0   0
157   0   0   0   0   0
158   0   0   0   0   0
159   0   0   0   0   0
160   0   0   0   0   0
161   0   0   0   0   0
162   0   0   0   0   0
163   0   0   0   0   0
164   0   0   0   0   0
165   0   0   0   0   0
166   0   0   0   0   0
167   0   0   0   0   0
168   0   0   0   0   0
169   0   0   0   0   0
170   0   0   0   0   0
171   0   0   0   0   0
172   0   0   0   0   0
173   0   0   0   0   0
174   0   0   0   0   0
175   0   0   0   0   0
176   0   0   0   0   0
177   0   0   0   0   0
178   0   0   0   0   0
179   0   0   0   0   0
180   0   0   0   0   0
181   0   0   0   0   0
182   0   0   0   0   0
183   0   0   0   0   0
184   0   0   0   0   0
185   0   0   0   0   0
186   0   0   0   0   0
187   0   0   0   0   0
188   0   0   0   0   0
189   0   0   0   0   0
190   0   0   0   0   0
191   0   0   0   0   0
192   0   0   0   0   0
193   0   0   0   0   0
194   0   0   0   0   0
195   0   0   0   0   0
196   0   0   0   0   0
197   0   0   0   0   0
198   0   0   0   0   0
199   0   0   0   0   0
200   0   0   0   0   0
201   0   0   0   0   0
202   0   0   0   0   0
203   0   0   0   0   0
204   0   0   0   0   0
205   0   0   0   0   0
206   0   0   0   0   0
207   0   0   0   0   0
208   0   0   0   0   0
209   0   0   0   0   0
210   0   0   0   0   0
211   0   0   0   0   0
212   0   0   0   0   0
213   0   0   0   0   0
214   0   0   0   0   0
215   0   0   0   0   0
216   0   0   0   0   0
217   0   0   0   0   0
218   0   0   0   0   0
219   0   0   0   0   0
220   0   0   0   0   0
221   0   0   0   0   0
222   0   0   0   0   0
223   0   0   0   0   0
224   0   0   0   0   0
225   0   0   0   0   0
226   0   0   0   0   0
227   0   0   0   0   0
228   0   0   0   0   0
229   44   84   44   160   20
230   85   124   60   170   11
231   44   135   50   175   11
232   218   210   158   254   7
233   157   128   79   254   11
234   115   115   115   254   26
235   170   86   62   254   0
236   122   122   122   254   7
237   70   50   32   255   0
238   206   206   201   255   5
239   122   91   51   255   0
240   244   137   54   255   0
241   200   75   210   255   0
242   120   158   241   255   0
243   204   200   28   255   0
244   59   210   47   255   0
245   237   141   164   255   0
246   76   76   76   255   0
247   168   172   172   255   0
248   39   116   149   255   0
249   133   53   195   255   0
250   38   51   160   255   0
251   85   51   27   255   0
252   55   77   24   255   0
253   173   44   40   255   0
254   32   27   27   255   0
