#ID   R   G   B   A   Noise
0   0   0   0   0   0
1   140   138   118   255   0
2   39   85   16   255   4
3   112   88   51   255   1
4   129   127   107   255   1
5   88   49   14   255   1
6   32   52   4   255   26
7   145   142   123   255   1
8   19   59   86   129   0
9   19   59   86   129   0
10   241   71   10   255   6
11   241   71   10   255   6
12   212   205   176   255   0
13   108   102   75   255   1
14   146   140   113   255   2
15   131   130   117   255   2
16   93   91   74   255   3
17   89   59   23   255   1
18   15   61   0   255   4
19   190   183   143   255   3
20   110   99   84   51   21
21   92   107   118   255   3
22   0   63   155   255   8
23   146   143   129   255   3
24   205   198   166   255   1
25   89   55   22   255   2
26   0   0   0   0   0
27   0   0   0   0   0
28   0   0   0   0   0
29   0   0   0   0   0
30   0   0   0   0   0
31   0   0   0   0   0
32   0   0   0   0   0
33   0   0   0   0   0
34   0   0   0   0   0
35   229   227   226   255   0
36   0   0   0   0   0
37   118   134   31   255   169
38   118   58   1   255   34
39   144   119   101   255   94
40   152   68   62   255   183
41   138   115   59   255   5
42   98   98   98   255   2
43   136   133   116   255   2
44   136   133   116   255   2
45   136   101   77   255   3
46   86   68   36   255   4
47   88   43   20   255   2
48   99   110   64   255   4
49   9   9   9   255   0
50   185   163   131   255   255
51   241   71   10   76   6
52   85   108   35   255   6
53   88   49   14   255   1
54   105   71   34   255   4
55   157   40   25   255   9
56   125   130   120   255   2
57   96   80   64   255   5
58   103   74   44   255   5
59   178   153   74   255   12
60   92   68   36   255   1
61   109   106   95   255   5
62   132   114   95   255   5
63   39   85   16   255   4
64   95   60   26   255   2
65   69   40   9   255   4
66   87   63   44   255   8
67   129   127   107   255   1
68   88   49   14   255   1
69   164   38   17   255   26
70   74   57   38   255   255
71   75   76   78   255   4
72   88   49   14   255   1
73   142   118   94   255   3
74   142   118   94   255   3
75   99   45   31   255   14
76   164   38   17   255   26
77   75   76   78   25   4
78   244   248   252   255   0
79   66   94   144   148   2
80   244   248   252   255   0
81   103   112   23   255   11
82   127   71   34   255   1
83   79   123   18   255   35
84   89   55   22   255   2
85   166   147   105   153   5
86   190   123   8   255   13
87   152   92   86   255   1
88   87   54   48   255   2
89   143   124   64   255   5
90   0   0   0   0   0
91   200   135   16   255   16
92   229   210   187   255   10
93   0   0   0   0   0
94   0   0   0   0   0
95   0   0   0   0   0
96   0   0   0   0   0
97   0   0   0   0   0
98   0   0   0   0   0
99   0   0   0   0   0
100   0   0   0   0   0
101   0   0   0   0   0
102   0   0   0   0   0
103   0   0   0   0   0
104   0   0   0   0   0
105   0   0   0   0   0
106   0   0   0   0   0
107   0   0   0   0   0
108   0   0   0   0   0
109   0   0   0   0   0
110   0   0   0   0   0
111   0   0   0   0   0
112   0   0   0   0   0
113   0   0   0   0   0
114   0   0   0   0   0
115   0   0   0   0   0
116   0   0   0   0   0
117   0   0   0   0   0
118   0   0   0   0   0
119   0   0   0   0   0
120   0   0   0   0   0
121   0   0   0   0   0
122   0   0   0   0   0
123   0   0   0   0   0
124   0   0   0   0   0
125   0   0   0   0   0
126   0   0   0   0   0
127   0   0   0   0   0
128   0   0   0   0   0
129   0   0   0   0   0
130   0   0   0   0   0
131   0   0   0   0   0
132   0   0   0   0   0
133   0   0   0   0   0
134   0   0   0   0   0
135   0   0   0   0   0
136   0   0   0   0   0
137   0   0   0   0   0
138   0   0   0   0   0
139   0   0   0   0   0
140   0   0   0   0   0
141   0   0   0   0   0
142   0   0   0   0   0
143   0   0   0   0   0
144   0   0   0   0   0
145   0   0   0   0   0
146   0   0   0   0   0
147   0   0   0   0   0
148   0   0   0   0   0
149   0   0   0   0   0
150   0   0   0   0   0
151   0   0   0   0   0
152   0   0   0   0   0
153   0   0   0   0   0
154   0   0   0   0   0
155   0   0   0   0   0
156   0   0   0   0   0
157   0   0   0   0   0
158   0   0   0   0   0
159   0   0   0   0   0
160   0   0   0   0   0
161   0   0   0   0   0
162   0   0   0   0   0
163   0   0   0   0   0
164   0   0   0   0   0
165   0   0   0   0   0
166   0   0   0   0   0
167   0   0   0   0   0
168   0   0   0   0   0
169   0   0   0   0   0
170   0   0   0   0   0
171   0   0   0   0   0
172   0   0   0   0   0
173   0   0   0   0   0
174   0   0   0   0   0
175   0   0   0   0   0
176   0   0   0   0   0
177   0   0   0   0   0
178   0   0   0   0   0
179   0   0   0   0   0
180   0   0   0   0   0
181   0   0   0   0   0
182   0   0   0   0   0
183   0   0   0   0   0
184   0   0   0   0   0
185   0   0   0   0   0
186   0   0   0   0   0
187   0   0   0   0   0
188   0   0   0   0   0
189   0   0   0   0   0
190   0   0   0   0   0
191   0   0   0   0   0
192   0   0   0   0   0
193   0   0   0   0   0
194   0   0   0   0   0
195   0   0   0   0   0
196   0   0   0   0   0
197   0   0   0   0   0
198   0   0   0   0   0
199   0   0   0   0   0
200   0   0   0   0   0
201   0   0   0   0   0
202   0   0   0   0   0
203   0   0   0   0   0
204   0   0   0   0   0
205   0   0   0   0   0
206   0   0   0   0   0
207   0   0   0   0   0
208   0   0   0   0   0
209   0   0   0   0   0
210   0   0   0   0   0
211   0   0   0   0   0
212   0   0   0   0   0
213   0   0   0   0   0
214   0   0   0   0   0
215   0   0   0   0   0
216   0   0   0   0   0
217   0   0   0   0   0
218   0   0   0   0   0
219   0   0   0   0   0
220   0   0   0   0   0
221   0   0   0   0   0
222   0   0   0   0   0
223   0   0   0   0   0
224   0   0   0   0   0
225   0   0   0   0   0
226   0   0   0   0   0
227   0   0   0   0   0
228   0   0   0   0   0
229   0   0   0   0   0
230   0   0   0   0   0
231   0   0   0   0   0
232   0   0   0   0   0
233   169   176   200   255   0
234   88   49   14   255   1
235   129   127   107   255   1
236   19   49   2   255   3
237   14   62   0   255   6
238   49   40   29   255   0
239   226   221   218   255   2
240   221   120   7   255   12
241   158   0   118   255   13
242   67   137   217   255   6
243   214   186   63   255   15
244   116   144   56   255   8
245   224   161   164   255   0
246   75   73   72   255   0
247   153   151   150   255   0
248   119   204   199   255   0
249   73   0   98   255   9
250   0   64   167   255   10
251   88   57   15   255   2
252   7   66   0   255   4
253   136   0   0   255   0
254   7   7   7   255   0
255   0   0   0   0   0
